,Term,Definition
1,/dev,
2,/proc,
3,"Asynchronous Communications, System Calls",
4,Atomic Operations,
5,Barrier,
6,Binary Semaphore,
7,block device mode,
8,Blocked Process ,
9,Blocked Thread,
10,Blocking (Thread/Process),
11,Bounded Buffer Problem,
12,Burst CPU or IO,
13,Bus,
14,busy waiting,
15,char device mode,
16,Circular Wait,
17,Concurrency,
18,Conditional Variable,
19,Context / Context Switch,
20,Control Registers (R/W/Control),
21,controller,
22,copy from user,
23,Copy on Write,
24,copy to user,
25,CPU Bound,
26,CPU Utilization,
27,Critical Section,
28,Cycle in Resource Graph,
29,cycle stealing,
30,Deadlock,
31,Deadlock Avoidance,
32,Deadlock Detection,
33,Deadlock Free,
34,Deadlock Prevention,
35,Deadlock Recovery,
36,Device Driver,
37,Dining Philosophers Problem,
38,dispatch table,
39,DMA (Direct Memory Access),
40,dmesg,
41,exec(),
42,execution time / CPU time,
43,FCFS (First Come First Served),
44,file data structure ,
45,fork(),
46,Grab and Hold,
47,guest OS,
48,Host OS,
49,hypervisor,
50,I/O Bound,
51,I/O Controller,
52,insmod,
53,interrupt,
54,Interrupt Mask,
55,IPC (Inter Process Communications),
56,Jump Table,
57,kernel mode,
58,LKM (Loadable Kernel Module),
59,lsmod,
60,Many to many,
61,Many to One,
62,Memory Mapped I/O,
63,micro-kernel,
64,mknod,
65,module,
66,module exit,
67,module init,
68,Monoitor,
69,monolithic kernel,
70,Multi-Level Queues,
71,Multi-Processor Scheduling,
72,Mutex,
73,Mutual Exclusion,
74,necessary ,
75,Non Preemptive,
76,Parallelism,
77,PCB (Process Control Block),
78,Pipe,
79,polling,
80,Port I/O,
81,POSIX pthread API,
82,Preemptive,
83,printk,
84,Priority Scheduling,
85,Priotiry,
86,Process,
87,Process State,
88,Producer-Consumer Problem,
89,Race Condition,
90,Read / Write / Seek,
91,Reader Writer Problem,
92,Reenterant,
93,register module,
94,Resource Allocation Graph,
95,Response Time,
96,rmmod,
97,RR (Round-Robin Scheduling),
98,safe state,
99,Scheduling,
100,Scheduling mechanism,
101,Scheduling Policy,
102,Semaphore,
103,shared data,
104,Shared Memory,
105,Shared Resource,
106,SJF (Shortest Job First),
107,Socket,
108,Spin Lock,
109,Starvation,
110,Starvation Free,
111,sufficient,
112,Synchronization,
113,"Synchronous Communications, System Calls",
114,system call,
115,test-n-set instruction,
116,Thread,
117,Thread Safe,
118,throughput,
119,timeslice,
120,trap,
121,turnaround time,
122,unregister module,
123,unsafe state,
124,user mode,
125,VM (Virtual Machine),
126,VM (Virtual Memory),
127,Waiting Time,